MaDanhMuc,TenDanhMuc
DM001,Danh Mục Dịch Vụ 1 - Open-source multi-state moratorium
DM002,Danh Mục Dịch Vụ 2 - Total bifurcated conglomeration
DM003,Danh Mục Dịch Vụ 3 - Multi-tiered directional frame
DM004,Danh Mục Dịch Vụ 4 - Assimilated directional budgetary management
DM005,Danh Mục Dịch Vụ 5 - Re-contextualized 24/7 attitude
DM006,Danh Mục Dịch Vụ 6 - Diverse zero-defect migration
DM007,Danh Mục Dịch Vụ 7 - Team-oriented exuding solution
DM008,Danh Mục Dịch Vụ 8 - Sharable homogeneous parallelism
DM009,Danh Mục Dịch Vụ 9 - Open-architected zero administration solution
DM010,Danh Mục Dịch Vụ 10 - Synchronized fresh-thinking help-desk
DM011,Danh Mục Dịch Vụ 11 - Compatible global forecast
DM012,Danh Mục Dịch Vụ 12 - Secured cohesive budgetary management
DM013,Danh Mục Dịch Vụ 13 - Profound asymmetric parallelism
DM014,Danh Mục Dịch Vụ 14 - Cross-platform encompassing functionalities
DM015,Danh Mục Dịch Vụ 15 - Customer-focused responsive frame
DM016,Danh Mục Dịch Vụ 16 - Automated grid-enabled info-mediaries
DM017,Danh Mục Dịch Vụ 17 - Cross-platform mission-critical leverage
DM018,Danh Mục Dịch Vụ 18 - Ergonomic content-based capacity
DM019,Danh Mục Dịch Vụ 19 - Fundamental value-added encryption
DM020,Danh Mục Dịch Vụ 20 - Vision-oriented actuating analyzer
DM021,Danh Mục Dịch Vụ 21 - Synergistic systemic Internet solution
DM022,Danh Mục Dịch Vụ 22 - Triple-buffered 5thgeneration support
DM023,Danh Mục Dịch Vụ 23 - Universal system-worthy support
DM024,Danh Mục Dịch Vụ 24 - Streamlined full-range hub
DM025,Danh Mục Dịch Vụ 25 - Phased responsive knowledgebase
DM026,Danh Mục Dịch Vụ 26 - Reverse-engineered needs-based collaboration
DM027,Danh Mục Dịch Vụ 27 - Focused mission-critical knowledgebase
DM028,Danh Mục Dịch Vụ 28 - User-centric systemic hardware
DM029,Danh Mục Dịch Vụ 29 - Seamless user-facing analyzer
DM030,Danh Mục Dịch Vụ 30 - Grass-roots cohesive access
DM031,Danh Mục Dịch Vụ 31 - Face-to-face 24/7 paradigm
DM032,Danh Mục Dịch Vụ 32 - Versatile real-time project
